Stage,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Group,Venezuela,Colombia,0,1,A
Group,Peru,Bolivia,2,2,D
Group,Colombia,Bolivia,1,0,H
Group,Peru,Venezuela,3,1,H
Group,Venezuela,Bolivia,1,1,D
Group,Peru,Colombia,2,2,D
Group,Mexico,Uruguay,2,2,D
Group,Argentina,Ecuador,6,1,H
Group,Uruguay,Ecuador,2,1,H
Group,Argentina,Mexico,0,1,A
Group,Mexico,Ecuador,2,1,H
Group,Argentina,Uruguay,4,2,H
Group,Costa Rica,Paraguay,0,1,A
Group,Brazil,Chile,1,0,H
Group,Brazil,Costa Rica,4,1,H
Group,Paraguay,Chile,1,1,D
Group,Costa Rica,Chile,2,1,H
Group,Brazil,Paraguay,1,2,A
Quarter-finals,Peru,Argentina,0,1,A
Quarter-finals,Colombia,Costa Rica,2,0,H
Quarter-finals,Paraguay,Uruguay,1,3,A
Quarter-finals,Mexico,Brazil,0,4,A
Semi-finals,Argentina,Colombia,3,0,H
Semi-finals,Uruguay,Brazil,1,1,D
Match for third place,Colombia,Uruguay,1,2,A
Final,Argentina,Brazil,2,2,D
